repository_name,owner_username,stars,repository_url
scikit-learn,scikit-learn,47600,https://gitub.com/scikit-learn/scikit-learn
superset,apache,40900,https://gitub.com/apache/superset
pandas,pandas-dev,31400,https://gitub.com/pandas-dev/pandas
metabase,metabase,26300,https://gitub.com/metabase/metabase
streamlit,streamlit,16200,https://gitub.com/streamlit/streamlit
AI-Expert-Roadmap,AMAI-GmbH,14900,https://gitub.com/AMAI-GmbH/AI-Expert-Roadmap
goaccess,allinurl,13900,https://gitub.com/allinurl/goaccess
CyberChef,gchq,13100,https://gitub.com/gchq/CyberChef
OpenRefine,OpenRefine,8400,https://gitub.com/OpenRefine/OpenRefine
pandas-profiling,pandas-profiling,8100,https://gitub.com/pandas-profiling/pandas-profiling
mlcourse.ai,Yorko,7900,https://gitub.com/Yorko/mlcourse.ai
pandas_exercises,guipsamora,6900,https://gitub.com/guipsamora/pandas_exercises
statsmodels,statsmodels,6700,https://gitub.com/statsmodels/statsmodels
gop,goplus,6700,https://gitub.com/goplus/gop
imbalanced-learn,scikit-learn-contrib,5500,https://gitub.com/scikit-learn-contrib/imbalanced-learn
alluxio,Alluxio,5300,https://gitub.com/Alluxio/alluxio
pachyderm,pachyderm,5300,https://gitub.com/pachyderm/pachyderm
gonum,gonum,5200,https://gitub.com/gonum/gonum
Data-Analysis-and-Machine-Learning-Projects,rhiever,5100,https://gitub.com/rhiever/Data-Analysis-and-Machine-Learning-Projects
pyod,yzhao062,4900,https://gitub.com/yzhao062/pyod
knowledge-repo,airbnb,4900,https://gitub.com/airbnb/knowledge-repo
awesome-R,qinwf,4800,https://gitub.com/qinwf/awesome-R
weibospider,SpiderClub,4700,https://gitub.com/SpiderClub/weibospider
airbyte,airbytehq,4300,https://gitub.com/airbytehq/airbyte
pydata-notebook,BrambleXu,4300,https://gitub.com/BrambleXu/pydata-notebook
Ai-Learn,tangyudi,4100,https://gitub.com/tangyudi/Ai-Learn
akshare,akfamily,4100,https://gitub.com/akfamily/akshare
sqlpad,sqlpad,4000,https://gitub.com/sqlpad/sqlpad
gradio,gradio-app,3700,https://gitub.com/gradio-app/gradio
dataease,dataease,3500,https://gitub.com/dataease/dataease
